,id,type,n_likes,n_comments
390,391,Sidecar,19319.0,69.0
391,392,Sidecar,4949.0,23.0
392,393,Sidecar,1180.0,4.0
393,394,Sidecar,11531.0,58.0
394,395,Sidecar,2304.0,19.0
395,396,Sidecar,10713.0,18.0
396,397,Sidecar,656.0,10.0
397,398,Sidecar,827.0,11.0
398,399,Sidecar,2052.0,17.0
399,400,Sidecar,1399.0,9.0
400,401,Sidecar,10442955.0,0.0
401,402,Sidecar,2078.0,8.0
402,403,Sidecar,1750.0,70.0
403,404,Sidecar,5249532.0,0.0
404,405,Sidecar,7695019.0,9903.0
405,406,Sidecar,5444259.0,0.0
406,407,Sidecar,5692622.0,0.0
407,408,Sidecar,8662294.0,22296.0
408,409,Sidecar,1470.0,18.0
409,410,Sidecar,3427.0,28.0
410,411,Sidecar,1098.0,12.0
411,412,Sidecar,7231417.0,22119.0
412,413,Sidecar,6862603.0,0.0
413,414,Sidecar,6376238.0,0.0
414,415,Sidecar,7329144.0,0.0
415,416,Sidecar,3731.0,93.0
416,417,Sidecar,3424.0,37.0
417,418,Sidecar,5542877.0,0.0
418,419,Sidecar,7486.0,84.0
419,420,Sidecar,1760.0,86.0
420,421,Sidecar,2422.0,21.0
421,422,Sidecar,34.0,0.0
422,423,Sidecar,73.0,1.0
423,424,Sidecar,5963203.0,0.0
424,425,Sidecar,23012.0,310.0
425,426,Sidecar,16.0,0.0
426,427,Sidecar,23067.0,149.0
427,428,Sidecar,42815.0,193.0
428,429,Sidecar,125245.0,294.0
429,430,Sidecar,1702.0,57.0
430,431,Sidecar,157124.0,352.0
431,432,Sidecar,1007.0,10.0
432,433,Sidecar,6563.0,259.0
433,434,Sidecar,860.0,50.0
434,435,Sidecar,38466.0,195.0
435,436,Sidecar,945.0,16.0
436,437,Sidecar,411.0,3.0
437,438,Sidecar,1260.0,15.0
438,439,Sidecar,567.0,18.0
439,440,Sidecar,4457.0,24.0
440,441,Sidecar,514.0,11.0
441,442,Sidecar,462.0,9.0
442,443,Sidecar,331.0,4.0
443,444,Sidecar,455.0,23.0
444,445,Sidecar,3935.0,104.0
445,446,Sidecar,1383.0,30.0
446,447,Sidecar,325.0,25.0
447,448,Sidecar,1411.0,65.0
448,449,Sidecar,4589.0,122.0
449,450,Sidecar,2867.0,4.0
450,451,Sidecar,995.0,19.0
451,452,Sidecar,8953.0,48.0
452,453,Sidecar,10637.0,62.0
453,454,Sidecar,1551.0,7.0
454,455,Sidecar,2691.0,16.0
455,456,Sidecar,14029.0,66.0
456,457,Sidecar,1968.0,13.0
457,458,Sidecar,11572.0,48.0
458,459,Sidecar,3382.0,14.0
459,460,Sidecar,1652.0,15.0
460,461,Sidecar,3182206.0,12206.0
461,462,Sidecar,339.0,5.0
462,463,Sidecar,297.0,3.0
463,464,Sidecar,317.0,2.0
464,465,Sidecar,440.0,0.0
465,466,Sidecar,608.0,0.0
466,467,Sidecar,861.0,1.0
467,468,Sidecar,159.0,0.0
468,469,Sidecar,5758761.0,11574.0
469,470,Sidecar,1172.0,1.0
470,471,Sidecar,6135.0,14.0
471,472,Sidecar,6207794.0,0.0
472,473,Sidecar,5860477.0,0.0
473,474,Sidecar,5813265.0,0.0
474,475,Sidecar,6771062.0,0.0
475,476,Sidecar,5391.0,12.0
476,477,Sidecar,8402240.0,0.0
477,478,Sidecar,2111.0,38.0
478,479,Sidecar,8861786.0,23682.0
479,480,Sidecar,9535676.0,0.0
480,481,Sidecar,7244060.0,24823.0
481,482,Sidecar,721.0,4.0
482,483,Sidecar,4911333.0,32121.0
483,484,Sidecar,9539441.0,36821.0
484,485,Sidecar,7533443.0,23976.0
485,486,Sidecar,2950.0,35.0
486,487,Sidecar,854.0,22.0
487,488,Sidecar,1644.0,17.0
488,489,Sidecar,10963524.0,24262.0
489,490,Sidecar,1922.0,18.0
490,491,Sidecar,3130.0,42.0
491,492,Sidecar,1475.0,22.0
492,493,Sidecar,5734.0,117.0
493,494,Sidecar,5557.0,33.0
494,495,Sidecar,900.0,7.0
495,496,Sidecar,51736.0,149.0
496,497,Sidecar,4244.0,49.0
497,498,Sidecar,540.0,8.0
498,499,Sidecar,412.0,5.0
499,500,Sidecar,6700152.0,0.0
500,501,Sidecar,123.0,0.0
501,502,Sidecar,5967383.0,0.0
502,503,Sidecar,670.0,75.0
503,504,Sidecar,1016.0,24.0
504,505,Sidecar,81.0,1.0
505,506,Sidecar,248.0,1.0
506,507,Sidecar,138.0,3.0
507,508,Sidecar,273.0,117.0
508,509,Sidecar,102.0,10.0
509,510,Sidecar,207.0,3.0
510,511,Sidecar,698752.0,9193.0
511,512,Sidecar,127686.0,312.0
512,513,Sidecar,238804.0,402.0
513,514,Sidecar,130145.0,284.0
514,515,Sidecar,310627.0,662.0
515,516,Sidecar,76189.0,242.0
516,517,Sidecar,76.0,3.0
517,518,Sidecar,157.0,5.0
518,519,Sidecar,3910922.0,7083.0
519,520,Sidecar,839.0,14.0
520,521,Sidecar,558.0,5.0
521,522,Sidecar,1921.0,9.0
522,523,Sidecar,1137.0,32.0
523,524,Sidecar,4492716.0,0.0
524,525,Sidecar,75.0,1.0
525,526,Sidecar,1144.0,13.0
526,527,Sidecar,888.0,25.0
527,528,Sidecar,28.0,0.0
528,529,Sidecar,1886.0,6.0
529,530,Sidecar,2619.0,29.0
530,531,Sidecar,15.0,1.0
531,532,Sidecar,25063.0,134.0
532,533,Sidecar,33901.0,137.0
533,534,Sidecar,22451.0,96.0
534,535,Sidecar,224.0,13.0
535,536,Sidecar,32099.0,301.0
536,537,Sidecar,1332.0,19.0
537,538,Sidecar,31340.0,177.0
538,539,Sidecar,78620.0,266.0
539,540,Sidecar,84690.0,203.0
540,541,Sidecar,3516.0,97.0
541,542,Sidecar,4739.0,80.0
542,543,Sidecar,42590.0,156.0
543,544,Sidecar,597.0,3.0
544,545,Sidecar,2088.0,29.0
545,546,Sidecar,1995.0,69.0
546,547,Sidecar,26239.0,82.0
547,548,Sidecar,812.0,27.0
548,549,Sidecar,4658051.0,39562.0
549,550,Sidecar,7610.0,40.0
550,551,Sidecar,1409.0,46.0
551,552,Sidecar,4974.0,8.0
552,553,Sidecar,752.0,11.0
553,554,Sidecar,4166577.0,27485.0
554,555,Sidecar,2719.0,42.0
555,556,Sidecar,6415828.0,83042.0
556,557,Sidecar,4481353.0,29151.0
557,558,Sidecar,36482.0,166.0
558,559,Sidecar,125.0,0.0
559,560,Sidecar,1842.0,16.0
560,561,Sidecar,3531.0,21.0
561,562,Sidecar,32677.0,199.0
562,563,Sidecar,288.0,0.0
563,564,Sidecar,259.0,0.0
564,565,Sidecar,2716.0,32.0
